product_area,st_created_date,work_order_accepted_date,location_country,worker_access_type,ST_start_date,st_start_month,pw_reset_date,supplier_name,location_region,hw_date_shipped,hw_estimated_delivery_date,hw_recd_dt,idv_date,idv_decision_date,idv_approval_date,idv_exception,gvc_invite_created_dt,worker_type,cnt_class_dates,net_onboarding_date,delivery_update,transfer_flag,bulk_shipment,manager_pref_for_hw_shipping,has_equipment,worker_active_flag,onboard_date_v2,sla_end_to_end,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,gvc_act,eqp_gvc,comp_eqp_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
REWS,2025-04-25,2025-04-25,United States,Badge Only,2025-04-28,2025-04-01,null,JONES LANG LASALLE INC,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,3,1,1,3,3,3,null,null,null,1,1,null,0,0,0
Technical Infrastructure,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-25,2025-04-01,2025-04-29,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-04-24,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-24,null,NO,null,null,Yes,2025-04-29,7,5,2,7,7,3,1,5,2,5,3,2,2,1,1
Technical Infrastructure,2025-04-17,2025-04-17,United States,Equipment and Access,2025-04-22,2025-04-01,2025-04-30,TW CONSTRUCTORS LLC,NORTH AMERICA,null,null,2025-04-22,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-22,null,NO,null,null,Yes,2025-04-30,13,9,6,13,13,5,1,8,5,9,3,3,6,6,0
POps,2025-04-10,2025-04-10,India,Equipment and Access,2025-04-14,2025-04-01,2025-04-28,RANDSTAD NV,APAC,null,null,2025-04-28,2025-05-12,2025-04-28,2025-04-21,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-28,null,NO,null,NO,Yes,2025-04-28,18,12,10,18,18,4,1,0,18,12,2,12,10,5,5
T&S,2025-04-23,2025-04-23,Poland,Equipment and Access,2025-04-28,2025-04-01,2025-04-30,ACCENTURE PLC,EMEA,null,2025-04-30,2025-04-28,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-28,null,NO,null,null,Yes,2025-04-30,7,5,2,7,7,5,1,2,5,5,3,3,2,2,0
gTech,2025-04-23,2025-04-23,India,Equipment and Access,2025-04-28,2025-04-01,2025-04-29,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,null,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,6,4,1,6,6,5,1,null,null,4,3,null,1,1,0
Corp Eng,2025-04-23,2025-04-23,India,Access Only,2025-04-24,2025-04-01,2025-04-28,IBM CORPORATION,APAC,null,null,2025-04-24,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-24,null,NO,null,null,Yes,2025-04-28,5,3,2,5,5,1,1,4,1,3,1,1,2,0,2
gTech,2025-04-29,2025-04-29,India,Access Only,2025-05-02,2025-05-01,2025-05-02,VIRTUSA CORPORATION,APAC,null,null,2025-04-30,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-30,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,2,1,3,3,1,0,0,0
T&S,2025-04-29,2025-04-29,Philippines,Equipment and Access,2025-05-02,2025-05-01,2025-05-02,ACCENTURE PLC,APAC,null,null,2025-05-01,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-01,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,1,2,3,3,2,0,0,0
T&S,2025-04-15,2025-04-15,Philippines,Equipment and Access,2025-04-18,2025-04-01,2025-04-29,ACCENTURE PLC,APAC,null,null,2025-04-27,2025-05-13,2025-04-29,2025-04-18,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-27,null,NO,null,null,Yes,2025-04-29,14,10,7,14,14,3,1,2,12,10,3,9,7,0,7
Technical Infrastructure,2025-04-22,2025-04-22,Chile,Equipment and Access,2025-04-28,2025-04-01,2025-04-30,GXO LOGISTICS WORLDWIDE LLC,LATAM,null,null,2025-04-25,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-25,null,NO,null,null,Yes,2025-04-30,8,6,2,8,8,6,1,5,3,6,4,3,2,0,2
Search,2025-04-25,2025-04-25,Malaysia,Access Only,2025-04-30,2025-04-01,null,TECH MAHINDRA LIMITED,APAC,null,null,null,null,null,null,TRUE,null,Vendor,1,2025-04-30,null,TRANSFER-Starters list,NO,null,YES,Yes,2025-04-30,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-28,2025-04-28,United States,Badge Only,2025-04-29,2025-04-01,null,MCFARLAND BUILDING GROUP LLC,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,1,1,1,1,1,1,null,null,null,1,1,null,0,0,0
T&S,2025-04-25,2025-04-25,Malaysia,Equipment and Access,2025-04-28,2025-04-01,2025-04-29,ACCENTURE PLC,APAC,null,null,2025-04-28,2025-05-13,2025-04-29,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,4,2,1,4,4,3,1,1,3,2,1,1,1,0,1
Ads & Commerce,2025-04-28,2025-04-28,India,Access Only,2025-04-29,2025-04-01,2025-04-29,GLOBALLOGIC INC,APAC,null,null,2025-04-28,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Corp Eng,2025-04-24,2025-04-24,India,Access Only,2025-04-30,2025-04-01,2025-04-30,IBM CORPORATION,APAC,null,null,2025-04-27,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-27,null,NO,null,null,Yes,2025-04-30,6,4,1,6,6,6,1,3,3,4,4,2,0,0,0
REWS,2025-04-24,2025-04-24,null,Probable Badge Only,2025-04-29,2025-04-01,null,STANTEC INC.,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,null,2025-04-29,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Corp Eng,2025-04-18,2025-04-18,India,Access Only,2025-04-22,2025-04-01,2025-04-28,VIRTUSA CORPORATION,APAC,null,null,2025-04-28,2025-05-06,2025-04-22,2025-04-22,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,10,6,4,10,10,4,-1,1,10,6,2,6,4,0,4
Geo,2025-04-24,2025-04-24,India,Equipment and Access,2025-04-29,2025-04-01,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-25,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-25,null,NO,null,null,Yes,2025-05-02,8,6,3,8,8,5,1,7,1,6,3,1,3,3,0
T&S,2025-04-23,2025-04-23,Malaysia,Equipment and Access,2025-04-25,2025-04-01,2025-04-28,ACCENTURE PLC,APAC,null,null,2025-04-28,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,2,-1,1,5,3,2,3,1,0,1
Cloud,2025-04-24,2025-04-24,Philippines,Equipment and Access,2025-04-29,2025-04-01,2025-05-02,ACCENTURE PLC,APAC,null,null,2025-04-28,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-28,null,NO,null,null,Yes,2025-05-02,8,6,3,8,8,5,1,4,4,6,3,2,3,3,0
Cloud,2025-04-16,2025-04-16,Philippines,Equipment and Access,2025-04-21,2025-04-01,2025-04-28,ACCENTURE PLC,APAC,null,null,2025-04-21,2025-05-12,2025-04-28,2025-04-23,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-21,null,NO,null,null,Yes,2025-04-28,12,8,5,12,12,5,1,7,5,8,3,3,5,2,3
Geo,2025-04-29,2025-04-29,India,Equipment and Access,2025-05-02,2025-05-01,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-30,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-30,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,2,1,3,3,1,0,0,0
Technical Infrastructure,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-25,2025-04-01,2025-04-28,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-04-24,2025-05-13,2025-04-29,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-24,null,NO,null,null,Yes,2025-04-28,6,4,1,6,6,3,-1,5,2,4,3,2,1,1,0
gTech,2025-04-27,2025-04-27,India,Access Only,2025-04-30,2025-04-01,2025-05-01,TELEPERFORMANCE SE,APAC,null,null,2025-04-29,2025-05-15,2025-05-01,2025-04-29,FALSE,2025-05-01,Vendor,1,2025-05-01,2025-04-29,null,NO,null,null,Yes,2025-05-01,4,3,1,4,4,3,1,2,2,3,2,1,1,0,1
gCS,2025-04-21,2025-04-21,Brazil,Access Only,2025-04-25,2025-04-01,2025-04-28,TTEC HOLDINGS INC,LATAM,null,null,2025-04-24,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-24,null,NO,null,null,Yes,2025-04-28,7,5,1,7,7,4,1,4,3,5,4,3,1,0,1
gTech,2025-04-23,2025-04-23,India,Equipment and Access,2025-04-25,2025-04-01,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-25,2025-05-14,2025-04-30,2025-04-27,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-25,null,NO,null,null,Yes,2025-04-30,7,5,3,7,7,2,1,5,2,5,2,2,3,1,2
Technical Infrastructure,2025-04-24,2025-04-24,United States,Badge Only,2025-04-28,2025-04-01,null,ALPHA SERVICES CORPORATION,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,null,null,null,2,2,null,0,0,0
Core (w/o Corp Eng),2025-04-22,2025-04-22,Philippines,Equipment and Access,2025-04-25,2025-04-01,2025-04-29,INFOSYS,APAC,null,null,2025-04-23,2025-05-12,2025-04-28,2025-04-27,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-23,null,NO,null,null,Yes,2025-04-29,7,5,2,7,7,3,1,6,1,5,3,1,2,1,1
gTech,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-25,2025-04-01,2025-04-29,TECH MAHINDRA LIMITED,NORTH AMERICA,null,null,2025-04-29,2025-05-12,2025-04-28,2025-04-27,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-29,null,NO,null,null,Yes,2025-04-29,7,5,2,7,7,3,1,0,7,5,3,5,2,1,1
T&S,2025-04-23,2025-04-23,Philippines,Equipment and Access,2025-04-25,2025-04-01,2025-05-02,ACCENTURE PLC,APAC,null,null,2025-05-02,2025-05-12,2025-04-28,2025-04-25,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-02,null,NO,null,null,Yes,2025-05-02,9,7,5,9,9,2,1,0,9,7,2,7,5,0,5
Technical Infrastructure,2025-04-22,2025-04-22,Netherlands,Access Only,2025-04-25,2025-04-01,2025-04-30,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,null,null,2025-04-24,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-24,null,NO,null,null,Yes,2025-04-30,8,6,3,8,8,3,1,6,2,6,3,2,3,3,0
Technical Infrastructure,2025-04-22,2025-04-22,United States,Access Only,2025-04-23,2025-04-01,2025-04-29,SCHENKER,NORTH AMERICA,null,null,2025-04-28,2025-05-07,2025-04-23,2025-04-23,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,7,5,4,7,7,1,1,1,6,5,1,4,4,0,4
Technical Infrastructure,2025-04-29,2025-04-29,null,Badge Only,2025-05-02,2025-05-01,null,AIDAN STRAIN ELECTRICAL ENGINEERING LIMITED,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,null,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-28,2025-04-28,null,Badge Only,2025-05-01,2025-05-01,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,null,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
T&S,2025-04-23,2025-04-23,India,Access Only,2025-04-28,2025-04-01,2025-04-30,WIPRO LIMITED,APAC,null,null,2025-04-23,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-23,null,NO,null,null,Yes,2025-04-30,7,5,2,7,7,5,1,7,1,5,3,1,2,0,2
gTech,2025-04-23,2025-04-23,United States,Equipment and Access,2025-04-29,2025-04-01,2025-04-29,VACO,NORTH AMERICA,null,null,2025-04-25,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-25,null,NO,null,null,Yes,2025-04-29,6,4,1,6,6,6,1,4,2,4,4,2,0,0,0
REWS,2025-04-28,2025-04-28,United States,Badge Only,2025-05-01,2025-05-01,null,COMPASS GROUP PLC,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Platforms + Ecosystems,2025-04-15,2025-04-15,India,Equipment and Access,2025-04-16,2025-04-01,2025-04-28,INFOSYS,APAC,null,null,2025-04-27,2025-05-11,2025-04-27,2025-04-17,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-27,null,NO,null,NO,Yes,2025-04-28,13,9,8,13,13,1,1,1,12,9,1,9,8,1,7
Waymo,2025-04-16,2025-04-16,India,Equipment and Access,2025-04-17,2025-04-01,2025-04-29,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-17,2025-05-13,2025-04-29,2025-04-17,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-17,null,NO,null,NO,Yes,2025-04-29,13,9,8,13,13,1,1,12,1,9,1,1,8,0,8
Technical Infrastructure,2025-04-28,2025-04-28,United States,Badge Only,2025-04-30,2025-04-01,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-30,null,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,null,null,null,2,2,null,0,0,0
Technical Infrastructure,2025-04-22,2025-04-22,United States,Access Only,2025-04-25,2025-04-01,2025-04-28,ALLIED UNIVERSAL,NORTH AMERICA,null,null,2025-04-25,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,6,4,1,6,6,3,1,3,3,4,3,3,1,1,0
gCS,2025-04-21,2025-04-21,Brazil,Access Only,2025-04-29,2025-04-01,2025-05-02,TTEC HOLDINGS INC,LATAM,null,null,2025-04-24,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-24,null,NO,null,null,Yes,2025-05-02,11,9,3,11,11,8,1,8,3,9,6,3,3,3,0
Technical Infrastructure,2025-04-28,2025-04-28,United States,Access Only,2025-05-01,2025-05-01,2025-05-02,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,null,null,2025-05-02,2025-05-16,2025-05-02,2025-05-01,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-02,null,NO,null,null,Yes,2025-05-02,4,4,1,4,4,3,1,0,4,4,3,4,1,0,1
Global Affairs (w/o T&S),2025-04-17,2025-04-17,United States,Equipment and Access,2025-04-23,2025-04-01,2025-04-28,"CONSILIO, INC",NORTH AMERICA,null,null,2025-04-25,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,11,7,3,11,11,6,1,3,8,7,4,6,3,2,1
Ads & Commerce,2025-04-28,2025-04-28,India,Access Only,2025-05-01,2025-05-01,2025-05-02,GLOBALLOGIC INC,APAC,null,null,2025-04-28,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-28,null,NO,null,null,Yes,2025-05-02,4,4,1,4,4,3,1,4,1,4,3,1,1,1,0
Technical Infrastructure,2025-04-24,2025-04-24,United States,Access Only,2025-04-28,2025-04-01,2025-04-30,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,null,null,2025-04-28,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-28,null,NO,null,null,Yes,2025-04-30,6,4,2,6,6,4,1,2,4,4,2,2,2,2,0
REWS,2025-04-23,2025-04-23,India,Access Only,2025-04-24,2025-04-01,2025-04-28,G4S PLC,APAC,null,null,2025-04-23,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-23,null,NO,null,null,Yes,2025-04-28,5,3,2,5,5,1,1,5,1,3,1,1,2,2,0
Geo,2025-04-28,2025-04-28,India,Access Only,2025-04-29,2025-04-01,2025-04-28,WIPRO LIMITED,APAC,null,null,null,2025-05-13,2025-04-29,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,0,0,1,0,0,1,-1,null,null,0,1,null,0,0,0
REWS,2025-04-24,2025-04-24,null,Badge Only,2025-04-29,2025-04-01,null,PROPARK AMERICA WEST LLC,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,null,2025-04-29,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Devices & Services,2025-04-15,2025-04-15,India,Equipment and Access,2025-04-16,2025-04-01,2025-04-28,TECH MAHINDRA LIMITED,APAC,null,null,2025-04-26,2025-05-12,2025-04-28,2025-04-27,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-26,null,NO,null,NO,Yes,2025-04-28,13,9,8,13,13,1,1,2,11,9,1,9,8,8,0
REWS,2025-04-23,2025-04-23,India,Badge Only,2025-04-28,2025-04-01,null,COMPASS GROUP PLC,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Platforms + Ecosystems,2025-04-18,2025-04-18,India,Equipment and Access,2025-04-23,2025-04-01,2025-04-28,ITTIAM SYSTEMS PVT LTD,APAC,null,null,2025-04-28,2025-05-08,2025-04-24,2025-04-23,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,10,6,3,10,10,5,1,0,10,6,3,6,3,0,3
YouTube,2025-04-23,2025-04-23,India,Access Only,2025-04-24,2025-04-01,2025-04-28,GENPACT LIMITED,APAC,null,null,2025-04-23,2025-05-09,2025-04-25,2025-04-24,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-23,null,NO,null,null,Yes,2025-04-28,5,3,2,5,5,1,1,5,1,3,1,1,2,0,2
Global Affairs (w/o T&S),2025-04-23,2025-04-23,India,Equipment and Access,2025-04-25,2025-04-01,2025-04-30,ACCENTURE PLC,APAC,null,null,null,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,null,null,NO,null,null,Yes,2025-04-30,7,5,3,7,7,2,1,null,null,5,2,null,3,3,0
Technical Infrastructure,2025-04-23,2025-04-23,United Kingdom,Equipment and Access,2025-04-24,2025-04-01,2025-04-29,ARCADIS NV,EMEA,null,null,2025-04-24,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-29,2025-04-24,null,NO,null,null,Yes,2025-04-29,6,4,3,6,6,1,1,4,1,4,1,1,3,2,1
REWS,2025-04-23,2025-04-23,India,Badge Only,2025-04-28,2025-04-01,null,COMPASS GROUP PLC,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Global Affairs (w/o T&S),2025-04-23,2025-04-23,Brazil,Equipment and Access,2025-04-25,2025-04-01,2025-04-30,"LEE, BROCK, CAMARGO ADVOGADOS",LATAM,null,null,2025-04-30,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-30,null,NO,null,null,Yes,2025-04-30,7,5,3,7,7,2,1,0,7,5,2,5,3,3,0
gCS,2025-04-28,2025-04-28,Philippines,Access Only,2025-04-30,2025-04-01,2025-04-30,CONCENTRIX,APAC,null,2025-05-02,2025-04-30,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-30,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,1,0,2,2,2,2,0,0,0
Technical Infrastructure,2025-04-25,2025-04-25,India,Badge Only,2025-04-29,2025-04-01,null,ERICSSON INC,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,4,2,1,4,4,4,null,null,null,2,2,null,0,0,0
Cloud,2025-04-23,2025-04-23,El Salvador,Access Only,2025-04-28,2025-04-01,null,SERVICESOURCE INTERNATIONAL INC,LATAM,null,null,null,2024-11-08,2024-10-25,null,FALSE,null,Vendor,1,2025-04-28,null,TRANSFER-Starters list,NO,null,YES,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
POps,2025-04-10,2025-04-10,India,Equipment and Access,2025-04-14,2025-04-01,2025-04-28,RANDSTAD NV,APAC,null,null,2025-04-25,2025-05-09,2025-04-25,2025-04-18,FALSE,2025-04-25,Vendor,1,2025-04-28,2025-04-25,null,NO,null,NO,Yes,2025-04-28,18,12,10,18,18,4,3,0,15,12,2,11,10,4,6
REWS,2025-04-29,2025-04-29,null,Badge Only,2025-05-02,2025-05-01,null,JONES LANG LASALLE INC,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,null,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
T&S,2025-04-22,2025-04-22,Philippines,Equipment and Access,2025-04-25,2025-04-01,2025-04-29,ACCENTURE PLC,APAC,null,null,2025-04-25,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-25,null,NO,null,null,Yes,2025-04-29,7,5,2,7,7,3,1,4,3,5,3,3,2,0,2
Technical Infrastructure,2025-04-02,2025-04-02,India,Access Only,2025-04-04,2025-04-01,2025-04-29,VERBESTEL LLC,APAC,null,null,2025-04-13,2025-05-13,2025-04-29,2025-04-05,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-13,null,NO,null,YES,Yes,2025-04-29,27,19,17,27,27,2,1,16,11,19,2,8,17,1,16
gTech,2025-04-28,2025-04-28,India,Equipment and Access,2025-05-01,2025-05-01,2025-05-01,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-30,2025-05-15,2025-05-01,2025-04-30,FALSE,2025-05-01,Vendor,1,2025-05-01,2025-04-30,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,3,1,1,2,3,3,2,0,0,0
YouTube,2025-04-24,2025-04-24,India,Access Only,2025-04-29,2025-04-01,2025-04-29,GENPACT LIMITED,APAC,null,null,2025-04-24,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-24,null,NO,null,null,Yes,2025-04-29,5,3,1,5,5,5,1,5,1,3,3,1,0,0,0
T&S,2025-04-29,2025-04-29,Philippines,Equipment and Access,2025-05-02,2025-05-01,2025-05-02,ACCENTURE PLC,APAC,null,null,2025-05-02,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-02,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,0,3,3,3,3,0,0,0
Devices & Services,2025-04-24,2025-04-24,India,Access Only,2025-04-28,2025-04-01,2025-04-28,EXIMIETAS DESIGN LLC,APAC,null,null,2025-04-25,2025-05-12,2025-04-28,2025-04-27,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,1,3,1,2,2,1,0,0,0
Technical Infrastructure,2025-04-23,2025-04-23,null,Badge Only,2025-04-28,2025-04-01,null,SISTEMAS CONTRA INCENDIOS EUROCOMERCIAL LTDA,LATAM,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,null,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Corp Eng,2025-04-23,2025-04-23,Singapore,Equipment and Access,2025-04-25,2025-04-01,2025-04-29,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,APAC,null,null,2025-04-29,2025-05-09,2025-04-25,2025-04-24,FALSE,2025-04-30,Vendor,1,2025-04-29,2025-04-29,null,NO,null,null,Yes,2025-04-29,6,4,2,6,6,2,-1,1,6,4,2,4,2,0,2
REWS,2025-04-23,2025-04-23,United States,Badge Only,2025-04-28,2025-04-01,null,SODEXO,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
gTech,2025-04-22,2025-04-22,India,Access Only,2025-04-24,2025-04-01,2025-04-29,VIRTUSA CORPORATION,APAC,null,null,2025-04-22,2025-05-13,2025-04-29,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-22,null,NO,null,null,No,2025-04-29,7,5,3,7,7,2,1,7,1,5,2,1,3,2,1
REWS,2025-04-29,2025-04-29,Finland,Badge Only,2025-05-02,2025-05-01,null,CBRE GROUP INC,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Geo,2025-04-24,2025-04-24,India,Equipment and Access,2025-04-29,2025-04-01,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-25,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-25,null,NO,null,null,Yes,2025-04-30,6,4,1,6,6,5,1,5,1,4,3,1,1,1,0
